property_type,society,sector,price,area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,raheja navodaya,sector 92,0.85,1572.0,5407.0,Super Built up area 1572(146.04 sq.m.),3,3,0,0.0,East,Relatively New,1572.0,,,0,0,0,0,0,2,88,524.0
flat,tulip violet,sector 69,3.05,3156.0,9664.0,Super Built up area 3156(293.2 sq.m.),4,5,3+,14.0,South-West,Relatively New,3156.0,,,0,1,0,0,1,2,49,789.0
flat,unitech the residences,sector 33,1.1,1110.0,9910.0,Super Built up area 1110(103.12 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,3,9.0,East,Moderately Old,1110.0,1100.0,1000.0,0,0,0,0,0,1,44,555.0
flat,paras dews,sector 106,1.17,1760.0,6648.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3,4,3+,12.0,West,Relatively New,1760.0,1186.0,1130.0,0,1,0,0,0,2,49,586.6666666666666
house,independent,sector 57,3.6,1728.0,20833.0,Plot area 192(160.54 sq.m.),4,4,2,2.0,South,Old Property,,1728.0,,1,1,1,1,0,2,110,432.0
house,independent,sector 26,20.0,4500.0,44444.0,Plot area 500(418.06 sq.m.),5,7,3+,3.0,West,Relatively New,,4500.0,,0,1,0,1,0,0,97,900.0
house,independent,sector 2,4.99,2642.0,18887.0,Plot area 270(225.75 sq.m.),4,4,3+,3.0,North,Moderately Old,,270.0,,0,1,1,1,0,2,43,660.5
flat,signature global solera,sector 107,0.28,493.0,5680.0,Carpet area: 489 (45.43 sq.m.),2,2,2,6.0,West,Relatively New,,,489.0,0,0,0,0,0,2,45,246.5
flat,godrej nature plus,sector 33,1.75,1996.0,8768.0,Built Up area: 1996 (185.43 sq.m.),3,3,0,2.0,,Undefined,,1996.0,,0,0,0,0,0,2,56,665.3333333333334
flat,indiabulls centrum park,sector 103,1.9,3344.0,5682.0,Carpet area: 3344 (310.67 sq.m.),3,4,3+,10.0,North-East,Relatively New,,,3344.0,1,1,0,1,1,1,49,1114.6666666666667
house,independent,sector 26,8.1,2295.0,35294.0,Plot area 255(213.21 sq.m.),5,5,2,4.0,East,Old Property,,2295.0,,0,0,0,0,0,2,42,459.0
flat,radhakrishna society,sector 23,0.55,1100.0,5000.0,Super Built up area 1100(102.19 sq.m.),2,2,1,1.0,West,Moderately Old,1100.0,,,0,0,0,0,0,1,29,550.0
flat,wings apartment,sector 9,1.2,1800.0,6667.0,Carpet area: 1800 (167.23 sq.m.),4,3,2,4.0,South-East,Moderately Old,,,1800.0,0,0,0,0,0,1,23,450.0
flat,bptp terra,sector 37d,1.79,1993.0,8981.0,Super Built up area 1998(185.62 sq.m.),4,3,3,15.0,South-West,Relatively New,1998.0,,,0,0,0,0,1,1,37,498.25
flat,bptp terra,sector 37d,1.78,2191.0,8124.0,Super Built up area 2191(203.55 sq.m.),4,3,3,10.0,East,Relatively New,2191.0,,,0,1,0,0,0,2,127,547.75
flat,bestech park view city,sector 49,3.0,2383.0,12589.0,Super Built up area 2383(221.39 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),4,4,3,5.0,North-East,Moderately Old,2383.0,2200.0,2000.0,0,1,0,1,0,1,141,595.75
house,independent,sector 4,0.47,587.0,8007.0,Plot area 624(57.97 sq.m.),2,1,1,1.0,East,Moderately Old,,624.0,,0,0,1,0,0,2,0,293.5
flat,shree vardhman victoria,sector 70,1.65,1950.0,8462.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,6.0,North-East,Relatively New,1950.0,,1161.0,0,1,0,1,0,2,167,650.0
flat,signature global park,sohna road,0.54,750.0,7200.0,Carpet area: 750 (69.68 sq.m.),2,2,2,4.0,North-East,Under Construction,,,750.0,0,0,0,0,0,2,111,375.0
flat,imperia the esfera,sector 37c,0.86,1578.0,5450.0,Super Built up area 1578(146.6 sq.m.)Carpet area: 1310 sq.ft. (121.7 sq.m.),2,3,3,9.0,South-East,Relatively New,1578.0,,1310.0,1,0,0,0,1,2,49,789.0
flat,eldeco accolade,sohna road,0.95,1452.0,6543.0,Super Built up area 1452(134.9 sq.m.)Carpet area: 849 sq.ft. (78.87 sq.m.),2,2,3+,6.0,East,New Property,1452.0,,849.0,1,0,0,0,0,1,56,726.0
